〃,"signo ídem"
音量調節,volumen
仮想的,virtual
可搬型,portátil
作業環境,"entorno de trabajo"
関連製品,"productos relacionados"
記述項,entrada
技術的名称,"nombre técnico"
携帯可能,portátil
桁あふれ,desbordamiento
検索結果,"resultados de búsqueda"
効率の良い,eficaz
効率の良い,eficiente
行端揃え,justificación
高画質,"alta resolución (de una imagen)"
高解像度,"alta resolución"
最新技術,"última tecnología"
作成中,"en construcción"
視覚的,visual
受信相手,"destinatario (de un correo electrónico, e.g.)"
出現頻度,"frecuencia (de aparición)"
消費側非同期手続き,consumidor
詳細説明,"explicación detallada"
上位グループ,antepasado
図形処理,"gráficos por ordenador"
折れ線,"línea zigzagueante"
折れ線,"línea quebrada"
走査器,escáner
対話型,interactivo
対話的,interactivo
着信者,"destinatario (de una transmisión)"
著作集,colección
通信規約,protocolo
動作環境,"sistema operativo"
動作状態,activo
独断的,dogmático
独断的,unilateral
独断的,arbitrario
倍速,"velocidad (de unidades CD ROM)"
復号器,descodificador
変復調装置,módem
無限遠点,infinito
名称変更,"cambio de nombre"
網点,"punto (eng: dot)"
優先度,prioridad
方位磁石,brújula
鬣犬,hiena
たてがみ犬,hiena
違法所持,"posesión ilegal"
被告側,"parte demandada"
ゼタ,zetta-
ゼタ,10^21
ヨタ,yotta-
ヨタ,10^24
ゼプト,zepto-
ゼプト,10^-21
ヨクト,yocto-
ヨクト,10^-24
いい加減にしろ,"¡ya es suficiente!"
いい加減にしろ,"¡basta ya!"
西,España
遺伝資源へのアクセスと利益配分,"acceso a los recursos genéticos y compartir el beneficio"
遺伝資源へのアクセスと利益配分,ABS
遺伝資源へのアクセスと利益配分,"Acceso y Beneficio-Compartido"
一寸宜しい,"(¿Puedes) tener un poco de tiempo (para hablar)?"
一寸宜しい,"(¿Tienes) un momento (para hablar)?"
航時機,"máquina del tiempo"
あっ,oh
あっ,ah
アッ,oh
アッ,ah
アっ,oh
アっ,ah
あ,oh
あ,ah
ア,oh
ア,ah
意のままに,"en voluntad"
意の儘に,"en voluntad"
貼り絵,collage
思うに,presumiblemente
思うに,concebiblemente
思うに,"en mi opinión"
思うに,"desde mi punto de vista"
思うに,"pienso (que)"
思うに,considerando
思うに,reflexionando
惟うに,presumiblemente
惟うに,concebiblemente
惟うに,"en mi opinión"
惟うに,"desde mi punto de vista"
惟うに,"pienso (que)"
惟うに,considerando
惟うに,reflexionando
口に含む,"mantener en la boca (sin morder, antes de masticar o tragar, etc.)"
エアロバイク,"ejercicio en bicicleta (wasei: aero(bic) bike)"
二つに一つ,"uno de dos (posibilidades, alternativas, etc.)"
２つに１つ,"uno de dos (posibilidades, alternativas, etc.)"
モデルルーム,"piso piloto"
モデル・ルーム,"piso piloto"
過ぎたるは及ばざるがごとし,"pasarse es tan malo como no llegar"
過ぎたるは及ばざるがごとし,"la moderación es lo ideal"
過ぎたるは及ばざるが如し,"pasarse es tan malo como no llegar"
過ぎたるは及ばざるが如し,"la moderación es lo ideal"
保体,"educación física y de la salud"
一体に,generalmente
明か,claro
明か,nítido
明か,evidente
清か,claro
清か,nítido
清か,evidente
愛しき,"(poesía) querido"
愛しき,estimado
ＡＫＹ,"no notar el humor implícito en las situaciones, conversaciones, etc"
嘸や,seguramente
嘸や,"sin duda"
クラリティー,"claridad (eng: clarity)"
クラリティ,"claridad (eng: clarity)"
エコカー,eco-car
先導性,liderazgo
エルゴノミク,ergonómico
一計を案じる,"idear un plan"
一計を案じる,"hallar un plan"
目に入る,verse
目に入る,"aparecer ante los ojos"
目に入る,mostrarse
中心核,"núcleo terrestre"
幹,tronco
幹,palo
幹,mango
柄,tronco
柄,palo
柄,mango
一パイント,"una pinta"
一パイント,"una pinta (unidad de medida)"
１パイント,"una pinta"
１パイント,"una pinta (unidad de medida)"
身をかわす,esquivar
身をかわす,regatear
身を躱す,esquivar
身を躱す,regatear
ＮＨＫ教育テレビ,"NHK Educational TV"
エヌエッチケー教育テレビ,"NHK Educational TV"
ＮＨＫ教育テレビジョン,"NHK Educational TV"
エヌエッチケー教育テレビジョン,"NHK Educational TV"
悪徳サイト,"sitio fraudulento"
百円玉,"moneda de 100 yen"
１００円玉,"moneda de 100 yen"
五百円玉,"moneda de 500 yen"
５００円玉,"moneda de 500 yen"
エンタメ,"entretenimiento (eng: entertainment)"
噂をすれば影が射す,"hablando del ruin de roma por la puerta asoma"
噂をすれば影が射す,"hablando del rey de roma por la puerta asoma"
噂をすれば影がさす,"hablando del ruin de roma por la puerta asoma"
噂をすれば影がさす,"hablando del rey de roma por la puerta asoma"
彼等,ellos
彼ら,ellos
巧笑,"bella sonrisa"
巧笑,"sonrisa graciosa"
巧咲,"bella sonrisa"
巧咲,"sonrisa graciosa"
インラインスケート,"patines en línea"
インライン・スケート,"patines en línea"
遺灰,"cenizas funerarias"
オプティミスティック,"optimista (eng: optimistic)"
フィリピン人,"filipino (gentilicio)"
複合体,complejo
利子率,"tipo de interés"
心して,"con atención"
心して,"con cuidado"
この次,"la próxima vez"
この次,"la siguiente vez"
この次,"la próxima ocasión"
この次,"el próximo..."
この次,"el siguiente..."
再見,revisión
再見,"vuelta a mirar"
一押し,"el más recomendable"
一押し,"lo más recomendable"
いち押し,"el más recomendable"
いち押し,"lo más recomendable"
一推し,"el más recomendable"
一推し,"lo más recomendable"
いち推し,"el más recomendable"
いち推し,"lo más recomendable"
法域,jurisdicción
発生源,fuente
発生源,origen
目にする,"ver de vez en cuando"
目にする,"ver a veces"
目にする,"ver o encontrar por casualidad"
もちのろん,claro
もちのろん,"sin duda"
もちのろん,cierto
もちのろん,"por supuesto"
もちのろん,naturalmente
命を落とす,"perder la vida"
命を落とす,morir
野梅,"ciruela salvaje"
サ店,cafetería
バトンを渡す,"entregar el testigo"
バトンを渡す,"entregar el mando"
バトンを渡す,"traspasar la dirección"
英雄色を好む,"a los héroes les gustan las mujeres"
英雄色を好む,"el héroe es mujeriego por naturaleza"
行間を読む,"leer entre líneas"
心を許す,confiar
心を許す,"tener confianza en"
心を許す,fiarse
一服を盛る,envenenar
門戸を開く,"abrir la puerta (metafóricamente)"
常勤講師,"conferenciante (a tiempo completo)"
気を利かせる,"actuar de modo espontáneo y discreto a la vista de la situación"
気をきかせる,"actuar de modo espontáneo y discreto a la vista de la situación"
穴を埋める,"rellenar el hueco"
穴を埋める,"tapar el agujero"
穴を埋める,"cubrir los defectos de otro"
穴を埋める,"suplir las carencias o faltas generadas por otro"
穴を埋める,"echar un capote"
真っ新,nuevo
真っ新,flamante
真っさら,nuevo
真っさら,flamante
務所,prisión
務所,cárcel
声を張り上げる,"levantar la voz"
声を張り上げる,gritar
腹を決める,decidirse
腹をきめる,decidirse
命を捧げる,"consagrar su vida"
スポーツ選手,atleta
プラスチック製,"(hecho de) plástico"
着色剤,colorante
共焦点走査型顕微鏡,"microscopio confocal de barrido"
足が棒になる,"tener las piernas entumecidas de cansancio"
足が棒になる,"quedársele a uno las piernas tiesas como dos palos de tanto andar"
民主主義者,demócrata
エジプト人,"egipcio (gentilicio)"
お医者様,doctor
お医者様,médico
お医者さま,doctor
お医者さま,médico
御医者様,doctor
御医者様,médico
御医者さま,doctor
御医者さま,médico
ブロンズ色,"(color) bronce"
柳に風,"esquivar hábilmente"
柳に風,"eludir con destreza"
柳に風,"sacudirse de encima con maña"
柳に風,"sortear hábilmente"
社会契約説,"contrato social"
音頭取り,director
音頭取り,guía
瘤牛,cebú
瘤牛,"buey jorobado"
ご愁傷様,"le acompaño en el sentimiento"
ご愁傷様,"lo siento mucho"
ご愁傷様,"lo lamento mucho"
ご愁傷様,"mi más sincero pésame"
ご愁傷様,"mis condolencias"
ご愁傷さま,"le acompaño en el sentimiento"
ご愁傷さま,"lo siento mucho"
ご愁傷さま,"lo lamento mucho"
ご愁傷さま,"mi más sincero pésame"
ご愁傷さま,"mis condolencias"
御愁傷様,"le acompaño en el sentimiento"
御愁傷様,"lo siento mucho"
御愁傷様,"lo lamento mucho"
御愁傷様,"mi más sincero pésame"
御愁傷様,"mis condolencias"
電話交換手,"operadora telefónica"
インディヘナ,indigena
アルコール度,"grado alcohólico"
お店,arrendador
お店,casero
御店,arrendador
御店,casero
よたよた,"tambalearse "
よたよた,"zozobrar "
よたよた,"caminar de modo inseguro"
違勅,"desobediencia a un mandato imperial"
違勅,"contravención de un edicto imperial"
炉,fogón
炉,hogar
炉,infiernillo
後納,"pago tardío"
後納,"pago atrasado"
後納,"pago con retraso"
頭が切れる,"ser rápido de cabeza"
頭が切れる,"tener la capacidad de reaccionar rápidamente a la hora de resolver problemas o despachar asuntos"
頭がきれる,"ser rápido de cabeza"
頭がきれる,"tener la capacidad de reaccionar rápidamente a la hora de resolver problemas o despachar asuntos"
商学部,"facultad de comercio"
商学部,"escuela de comercio"
嚏る,estornudar
彙類,"mismo género"
彙類,"misma especie"
矢倉,cueva
矢倉,"almacén excavado en la roca"
岩倉,cueva
岩倉,"almacén excavado en la roca"
窟,cueva
窟,"almacén excavado en la roca"
駆け比べ,carrera
駆け比べ,"competición o juego infantil para ver quién corre más"
駆け競べ,carrera
駆け競べ,"competición o juego infantil para ver quién corre más"
駆競べ,carrera
駆競べ,"competición o juego infantil para ver quién corre más"
駈け競べ,carrera
駈け競べ,"competición o juego infantil para ver quién corre más"
荒地,"campo en barbecho"
荒地,erial
荒地,"terreno incultivable"
荒地,"terreno devastado"
荒れ地,"campo en barbecho"
荒れ地,erial
荒れ地,"terreno incultivable"
荒れ地,"terreno devastado"
こりこり,"que cruje al masticarlo "
こりこり,"entumecido "
こりこり,"agarrotado "
こりこり,endurecido
忌,luto
忌,duelo
ずどん,"bang "
ずどん,"pam "
ずどん,pum
パルミチン酸,"ácido palmítico"
パルミチン酸,palmitato
結合エネルギー,"energía de enlace"
稼ぐに追いつく貧乏なし,"trabajando duro nunca se es pobre"
稼ぐに追いつく貧乏無し,"trabajando duro nunca se es pobre"
求めよさらば与えられん,"el que no llora no mama"
求めよさらば与えられん,"si no se pide no se concede"
求めよさらば与えられん,"pedid y se os dará"
求めよ然らば与えられん,"el que no llora no mama"
求めよ然らば与えられん,"si no se pide no se concede"
求めよ然らば与えられん,"pedid y se os dará"
金の世の中,"mundo gobernado por el dinero"
鶏口となるも牛後となる勿れ,"más vale ser cabeza de ratón que cola de león"
鶏口となるも牛後となるなかれ,"más vale ser cabeza de ratón que cola de león"
見ると聞くとは大違い,"del dicho al hecho va un trecho"
見ると聞くとは大違い,"entre lo oído y lo visto hay una gran diferencia"
言うは易く行うは難し,"decirlo es fácil"
言うは易く行うは難し,"hablar es fácil"
言うは易く行うは難し,"del dicho al hecho va un trecho"
後が無い,"sin retorno"
後が無い,"sin marcha atrás"
後がない,"sin retorno"
後がない,"sin marcha atrás"
お鉢が回る,"tocar el turno"
御鉢が回る,"tocar el turno"
喉元過ぎれば熱さを忘れる,"sólo nos acordamos de Santa Bárbara cuando truena"
骨折り損の草臥れ儲け,"predicar en el desierto"
骨折り損の草臥れ儲け,"dejarse la piel para nada"
骨折り損の草臥れ儲け,"romperse los huesos en vano"
山椒は小粒でもぴりりと辛い,"pequeño pero matón"
山椒は小粒でもぴりりと辛い,"el buen perfume se guarda en frascos pequeños"
子は三界の首枷,"los hijos son como un yugo que te atrapa para toda la vida"
思う念力岩をも通す,"querer es poder"
思う念力岩をも通す,"la fe mueve montañas"
思う念力岩をも徹す,"querer es poder"
思う念力岩をも徹す,"la fe mueve montañas"
朱に交われば赤くなる,"el que anda con lobos acaba aprendiendo a aullar"
女の一念岩をも通す,"el empeño de una mujer atraviesa las rocas"
女の一念岩をも通す,"la mujer es débil pero su perseverancia es muy fuerte"
女の一念岩をも通す,"la mujer es débil físicamente pero posee mucho tesón"
勝てば官軍負ければ賊軍,"al que vence se le nombra general"
勝てば官軍負ければ賊軍,"en la guerra lo único importante es vencer"
上には上がある,"un diamante puede cortar a otro diamante"
上には上がある,"dar con la horma de su zapato"
上には上が有る,"un diamante puede cortar a otro diamante"
上には上が有る,"dar con la horma de su zapato"
人のふり見てわがふり直せ,"aprende de los demás"
人のふり見てわがふり直せ,"observa a los demás y ve corrigiendo tu conducta"
人の振り見て我が振り直せ,"aprende de los demás"
人の振り見て我が振り直せ,"observa a los demás y ve corrigiendo tu conducta"
人のふり見て我がふり直せ,"aprende de los demás"
人のふり見て我がふり直せ,"observa a los demás y ve corrigiendo tu conducta"
正直の頭に神宿る,"dios protege a la gente honesta"
正直の頭に神宿る,"dios ampara al honrado"
生兵法は大怪我のもと,"la inexperiencia es el origen de grandes desgracias"
生兵法は大怪我のもと,"la falta de preparación adecuada es la causa de graves desastres"
生兵法は大怪我の元,"la inexperiencia es el origen de grandes desgracias"
生兵法は大怪我の元,"la falta de preparación adecuada es la causa de graves desastres"
生兵法は大怪我の基,"la inexperiencia es el origen de grandes desgracias"
生兵法は大怪我の基,"la falta de preparación adecuada es la causa de graves desastres"
生兵法は大けがのもと,"la inexperiencia es el origen de grandes desgracias"
生兵法は大けがのもと,"la falta de preparación adecuada es la causa de graves desastres"
生兵法は大けがの元,"la inexperiencia es el origen de grandes desgracias"
生兵法は大けがの元,"la falta de preparación adecuada es la causa de graves desastres"
生兵法は大けがの基,"la inexperiencia es el origen de grandes desgracias"
生兵法は大けがの基,"la falta de preparación adecuada es la causa de graves desastres"
先んずれば人を制す,"el que pega primero pega dos veces"
先んずれば人を制す,"el que primero llega toma las riendas"
先んずれば人を制す,"la anticipación es una gran ventaja"
すべての道はローマに通ず,"todos los caminos conducen a roma"
全ての道はローマに通ず,"todos los caminos conducen a roma"
総ての道はローマに通ず,"todos los caminos conducen a roma"
凡ての道はローマに通ず,"todos los caminos conducen a roma"
足の踏み場もない,"tan lleno de cosas revueltas que no se puede ni entrar"
足の踏み場も無い,"tan lleno de cosas revueltas que no se puede ni entrar"
待てば海路の日和あり,"con paciencia se gana el cielo"
待てば海路の日和あり,"si uno sabe esperar acaba llegando el día idóneo para salir a navegar"
待てば海路の日和有り,"con paciencia se gana el cielo"
待てば海路の日和有り,"si uno sabe esperar acaba llegando el día idóneo para salir a navegar"
短気は損気,"no por mucho madrugar amanece más temprano"
短気は損気,"la impaciencia es mala cosa"
短気は損気,"actuar con precipitación siempre trae malas consecuencias"
鳥無き里の蝙蝠,"ser el rey tuerto del país de los ciegos"
鳥無き里の蝙蝠,"en el país de los ciegos el tuerto es el rey"
刀折れ矢尽きる,"haber quemado ya el último cartucho"
刀折れ矢尽きる,"haber agotado ya todos los recursos"
刀折れ矢尽きる,"quedarse sin fuerzas o sin medios para seguir combatiendo"
刀折れ矢尽きる,"estar desarmado"
逃げるが勝ち,"huir no es de cobardes"
逃げるが勝ち,"a veces la huida equivale a la victoria"
馬鹿の一つ覚え,"la frase pseudo-intelectual que el tonto repite constantemente para hacernos ver lo listo que es"
バカの一つ覚え,"la frase pseudo-intelectual que el tonto repite constantemente para hacernos ver lo listo que es"
ばかの一つ覚え,"la frase pseudo-intelectual que el tonto repite constantemente para hacernos ver lo listo que es"
負けるが勝ち,"negarse a luchar es también una forma de victoria"
負けるが勝ち,"una retirada a tiempo es una victoria"
負けるが勝ち,"a veces perder es ganar"
糞も味噌も一緒,"no distinguir el bien del mal"
糞も味噌も一緒,"no distinguir lo bueno de lo malo"
糞も味噌も一緒,"tratar por igual las cosas buenas y las malas"
柳の下にいつも泥鰌はいない,"no todo el monte es orégano"
柳の下にいつも泥鰌はいない,"la buena suerte no siempre se repite"
柳の下に何時も泥鰌は居ない,"no todo el monte es orégano"
柳の下に何時も泥鰌は居ない,"la buena suerte no siempre se repite"
老いては子に従え,"de viejo haz caso a tus hijos"
六十の手習い,"nunca es tarde para aprender"
六十の手習い,"ser aprendiz de caligrafía a los sesenta"
驕る平家は久しからず,"el que lleva una vida disoluta dura poco"
奢る平家は久しからず,"el que lleva una vida disoluta dura poco"
おごる平家は久しからず,"el que lleva una vida disoluta dura poco"
ヤシの実,dátil
椰子の実,dátil
さやさや,"onomatopeya de hojas o tejidos al rozar suavemente con algo: fru, fru"
医生,"estudiante de medicina"
うずまき線,espiral
渦巻き線,espiral
渦巻線,espiral
シクロヘキサン,ciclohexano
三重結合,"triple enlace"
ヘキサン,hexano
シクロプロパン,ciclopropano
フェニル,fenilo
金属結合,"enlace metálico"
プロビタミン,provitamina
自治行政,autogobierno
イントロン,intrón
クロマチン,cromatina
ヒストン,histona
神経ペプチド,neuropéptido
地,tejido
地,paño
地,tela
算,contar
算,calcular
算,computar
在社,"estancia en la empresa"
在社,"permanencia en la empresa"
頭をもたげる,descubrirse
頭をもたげる,aparecer
頭をもたげる,aflorar
頭をもたげる,"darse a conocer"
頭をもたげる,ascender
頭をもたげる,"tomar auge"
頭をもたげる,"cobrar fuerza"
頭を擡げる,descubrirse
頭を擡げる,aparecer
頭を擡げる,aflorar
頭を擡げる,"darse a conocer"
頭を擡げる,ascender
頭を擡げる,"tomar auge"
頭を擡げる,"cobrar fuerza"
海鮮,"productos frescos del mar"
海鮮,"pescado y marisco fresco"
一竿,"una caña"
法人格,"personalidad jurídica"
目的のためには手段を選ばない,"usar todo tipo de medios para conseguir su objetivo"
目的のためには手段を選ばない,"no reparar en los medios para alcanzar su objetivo"
目的のためには手段を選ばない,"ser de los que piensan que el fin justifica los medios"
戴勝,abubilla
頻く頻く,"prolongarse en el tiempo"
頻く頻く,"durar mucho"
頻く頻く,frecuentemente
頻く頻く,"a menudo"
頻々,"prolongarse en el tiempo"
頻々,"durar mucho"
頻々,frecuentemente
頻々,"a menudo"
頻頻,"prolongarse en el tiempo"
頻頻,"durar mucho"
頻頻,frecuentemente
頻頻,"a menudo"
欠缺,"laguna legal"
欠缺,"olvido del legislador"
欠缺,vicio
欠缺,defecto
一縮,"un guerrero armado, un guerrero con la armadura puesta"
痂皮,postilla
ほいほい,"voz para expulsar a alguien: fuera, largo de aquí "
ほいほい,"a la ligera, imprudentemente, irreflexivamente"
ホイホイ,"voz para expulsar a alguien: fuera, largo de aquí "
ホイホイ,"a la ligera, imprudentemente, irreflexivamente"
饗設け,"acoger como anfitrión"
饗設け,"agasajar como anfitrión"
饗設,"acoger como anfitrión"
饗設,"agasajar como anfitrión"
迎合,asentimiento
迎合,conformidad
迎合,aprobación
迎合,pelotilleo
迎合,"seguimiento de la corriente"
主,amo
主人,amo
堰を切ったよう,"en tromba"
堰を切ったよう,"en avalancha"
堰を切ったよう,"a raudales"
堰を切ったよう,"como si hubieran abierto el grifo"
堰を切ったよう,"como si se hubiera roto la presa"
堰を切ったよう,"como si hubieran abierto la compuerta"
せきを切ったよう,"en tromba"
せきを切ったよう,"en avalancha"
せきを切ったよう,"a raudales"
せきを切ったよう,"como si hubieran abierto el grifo"
せきを切ったよう,"como si se hubiera roto la presa"
せきを切ったよう,"como si hubieran abierto la compuerta"
堰を切った様,"en tromba"
堰を切った様,"en avalancha"
堰を切った様,"a raudales"
堰を切った様,"como si hubieran abierto el grifo"
堰を切った様,"como si se hubiera roto la presa"
堰を切った様,"como si hubieran abierto la compuerta"
せきを切った様,"en tromba"
せきを切った様,"en avalancha"
せきを切った様,"a raudales"
せきを切った様,"como si hubieran abierto el grifo"
せきを切った様,"como si se hubiera roto la presa"
せきを切った様,"como si hubieran abierto la compuerta"
関を切ったよう,"en tromba"
関を切ったよう,"en avalancha"
関を切ったよう,"a raudales"
関を切ったよう,"como si hubieran abierto el grifo"
関を切ったよう,"como si se hubiera roto la presa"
関を切ったよう,"como si hubieran abierto la compuerta"
住居侵入罪,"delito de allanamiento de morada"
皓々,"blanco y brillante"
皓々,radiante
皓々,luminoso
皓々,puro
皓々,"inmenso y vacío"
皎々,"blanco y brillante"
皎々,radiante
皎々,luminoso
皎々,puro
皎々,"inmenso y vacío"
晧々,"blanco y brillante"
晧々,radiante
晧々,luminoso
晧々,puro
晧々,"inmenso y vacío"
皓皓,"blanco y brillante"
皓皓,radiante
皓皓,luminoso
皓皓,puro
皓皓,"inmenso y vacío"
晧晧,"blanco y brillante"
晧晧,radiante
晧晧,luminoso
晧晧,puro
晧晧,"inmenso y vacío"
皎皎,"blanco y brillante"
皎皎,radiante
皎皎,luminoso
皎皎,puro
皎皎,"inmenso y vacío"
大汗,sudada
大汗,sudadina
整備士,mecánico
リガンド,ligando
ボタン穴,ojal
ボタン孔,ojal
フェニルアラニン,fenilalanina
トレオニン,treonina
スレオニン,treonina
バリン,valina
ロイシン,leucina
アラニン,alanina
アルギニン,arginina
セリン,serina
ビリルビン,bilirrubina
天正カルタ,"antigua baraja japonesa de inspiración portuguesa y similar a la española (compuesta de 48 cartas y los cuatro palos tradicionales: oros, copas, espadas y bastos)"
驕り,orgullo
驕り,altivez
驕り,engreimiento
頌する,ensalzar
頌する,elogiar
デー,"(eng: day) día"
デー,fecha
デイ,"(eng: day) día"
デイ,fecha
ディ,"(eng: day) día"
ディ,fecha
駄々,mimos
駄々,lloriqueos
駄々,rabieta
駄々,pataleta
駄駄,mimos
駄駄,lloriqueos
駄駄,rabieta
駄駄,pataleta
下ろしたて,"de estreno"
下ろしたて,nuevo
下ろし立て,"de estreno"
下ろし立て,nuevo
逆遺伝学,"genética inversa"
共同海損,"avería a la gruesa (mercantil)"
喧嘩を売る,"buscar pelea"
けんかを売る,"buscar pelea"
受身文,"oración pasiva"
受動輸送,"transporte pasivo"
鬱金香,tulipán
錘,plomada
錘,"conjunto de plomos de la red de pesca"
沈子,plomada
沈子,"conjunto de plomos de la red de pesca"
墜子,plomada
墜子,"conjunto de plomos de la red de pesca"
靫,carcaj
靫,aljaba
靱,carcaj
靱,aljaba
アネックス,"edificio anejo"
アネックス,"edificio anexo"
アミノ,amina
アミノ,amino
アルデンテ,"al dente"
アル・デンテ,"al dente"
網,red
真核生物,"organismo eucariota"
クラミジア,clamidia
アラブ連盟,"liga árabe"
匆々,precipitadamente
匆々,"con prisas"
匆々,"muy ocupado"
匆々,ruidoso
匆々,bullicioso
怱々,precipitadamente
怱々,"con prisas"
怱々,"muy ocupado"
怱々,ruidoso
怱々,bullicioso
匆匆,precipitadamente
匆匆,"con prisas"
匆匆,"muy ocupado"
匆匆,ruidoso
匆匆,bullicioso
怱怱,precipitadamente
怱怱,"con prisas"
怱怱,"muy ocupado"
怱怱,ruidoso
怱怱,bullicioso
カナダ人,"canadiense (gentilicio)"
アンセム,himno
アンプレッショニスム,impresionismo
アンプレショニスム,impresionismo
アンブレラ,paraguas
リニメント,linimento
トランスジェニック生物,"organismo transgénico"
増さる,aumentar
増さる,proliferar
フェライト,ferrita
螺子プロペラ,hélice
螺線,"espiral (matemáticas)"
公理的方法,"método axiomático"
クエン酸回路,"ciclo del ácido cítrico"
枸櫞酸回路,"ciclo del ácido cítrico"
基質,sustrato
錐体細胞,"cono (un tipo de célula ocular)"
骨細胞,osteocito
四足動物,cuadrúpedo
エンドヌクレアーゼ,endonucleasa
合成酵素,sintetasa
補酵素,coenzima
制限酵素,"enzima de restricción"
ユークロマチン,eucromatina
原口,blastoporo
キノン,quinona
コハク酸,"ácido succínico"
コハク酸,succinato
琥珀酸,"ácido succínico"
琥珀酸,succinato
フマル酸,"ácido fumárico"
フマル酸,fumarato
リンゴ酸,"ácido maleico"
リンゴ酸,maleato
林檎酸,"ácido maleico"
林檎酸,maleato
鼠径ヘルニア,"hernia inguinal"
鼡径ヘルニア,"hernia inguinal"
鼠蹊ヘルニア,"hernia inguinal"
鼡蹊ヘルニア,"hernia inguinal"
チェダーチーズ,"queso cheddar"
チェダー・チーズ,"queso cheddar"
腺毛,"tricoma glandular"
蜜腺,nectario
顔面骨,"huesos faciales"
ＪＲ,"(Japanese Railways) Ferrocarriles Japoneses"
アントルプルヌール,empresario
アントルプルヌール,emprendedor
アントレプレナー,empresario
アントレプレナー,emprendedor
アントラセン,antraceno
面壁九年,"dedicarse en cuerpo y alma a una sola cosa, volcar todo su empeño en una sola actividad"
演繹的,deductivo
粟飯,"arroz con mijo"
かくはん機,batidora
攪拌機,batidora
撹拌機,batidora
田舎臭い,paleto
田舎臭い,pueblerino
田舎くさい,paleto
田舎くさい,pueblerino
芋焼酎,"aguardiente de batata"
藷焼酎,"aguardiente de batata"
バスドラム,"bombo de la batería"
ベースドラム,"bombo de la batería"
バス・ドラム,"bombo de la batería"
ベース・ドラム,"bombo de la batería"
アロサウルス,alosaurio
現責め,"tortura consistente en no permitir dormir"
拷責,tortura
拷責,tormento
須義,Taxodiaceae
須義,"Taxodiáceas (orden Pinales) (sistemática vegetal)"
心耳,aurícula
あらぬ事,"cosas inimaginables"
あらぬ事,"cosas impensables"
あらぬ事,"cosas absurdas"
有らぬ事,"cosas inimaginables"
有らぬ事,"cosas impensables"
有らぬ事,"cosas absurdas"
お決まり,rutina
お決まり,costumbre
お決まり,hábito
お決り,rutina
お決り,costumbre
お決り,hábito
御決まり,rutina
御決まり,costumbre
御決まり,hábito
御決り,rutina
御決り,costumbre
御決り,hábito
お情け,condescendencia
お情け,compasión
お情け,conmiseración
お情け,caridad
御情け,condescendencia
御情け,compasión
御情け,conmiseración
御情け,caridad
ぎくぎく,"doblarse una articulación "
ぎくぎく,"chirriar "
ぎくぎく,rechinar
ギチギチ,"chirriar "
ギチギチ,"rechinar "
ギチギチ,"no ir bien "
ギチギチ,"atrancarse "
ギチギチ,"apretujado "
ギチギチ,comprimido
ぎちぎち,"chirriar "
ぎちぎち,"rechinar "
ぎちぎち,"no ir bien "
ぎちぎち,"atrancarse "
ぎちぎち,"apretujado "
ぎちぎち,comprimido
ぎろぎろ,"con un brillo raro en los ojos "
ぎろぎろ,"con un extraño reflejo en la mirada"
ギロギロ,"con un brillo raro en los ojos "
ギロギロ,"con un extraño reflejo en la mirada"
この後,"tras esto"
此の後,"tras esto"
ごしゃごしゃ,"revuelto "
ごしゃごしゃ,"liado "
ごしゃごしゃ,"confuso "
ごしゃごしゃ,embrollado
せせら笑い,"risa burlona"
嘲笑い,"risa burlona"
冷笑い,"risa burlona"
てらてら,"brillante "
てらてら,"lustroso "
てらてら,"reluciente "
てらてら,resplandeciente
のめのめ,"con descaro "
のめのめ,"con insolencia "
のめのめ,"sin vergüenza"
ひび割れる,rajarse
ひび割れる,agrietarse
罅割れる,rajarse
罅割れる,agrietarse
ぴよぴよ,"moverse levemente "
ぴよぴよ,"infantil "
ぴよぴよ,"pueril "
ぴよぴよ,"piar "
ぴよぴよ,"hacer pío-pío"
ピヨピヨ,"moverse levemente "
ピヨピヨ,"infantil "
ピヨピヨ,"pueril "
ピヨピヨ,"piar "
ピヨピヨ,"hacer pío-pío"
ひよひよ,"moverse levemente "
ひよひよ,"infantil "
ひよひよ,"pueril "
ひよひよ,"piar "
ひよひよ,"hacer pío-pío"
へこへこ,"deformable "
へこへこ,"que se abolla "
へこへこ,"adular "
へこへこ,"lisonjear "
へこへこ,halagar
無闇やたら,"sin mesura"
無闇やたら,desmesuradamente
無闇やたら,"a lo loco"
無闇やたら,"a lo bestia"
無闇やたら,"de modo desmesurado"
無闇やたら,"sin conocimiento"
無闇やたら,"sin talento"
無闇やたら,irreflexivamente
無闇やたら,"sin ton ni son"
無闇矢鱈,"sin mesura"
無闇矢鱈,desmesuradamente
無闇矢鱈,"a lo loco"
無闇矢鱈,"a lo bestia"
無闇矢鱈,"de modo desmesurado"
無闇矢鱈,"sin conocimiento"
無闇矢鱈,"sin talento"
無闇矢鱈,irreflexivamente
無闇矢鱈,"sin ton ni son"
めためた,"a lo loco, al azar, sin ton ni son "
めためた,"aplastante, tremendo"
菫青石,cordierita
アジピン酸,"ácido adípico"
アジピン酸,adipato
アスコルビン酸,"ácido ascórbico"
アスコルビン酸,"vitamina ""C"""
アナスチグマート,anastigmático
アニオン,anión
アニオン,"ión negativo"
アノミー,anomia
アノミー,"ausencia de normas"
アミール,emir
エチオピア語,"etíope (idioma)"
